,вид,остров,длина клюва,ширина клюва,длина плавника,масса тела,пол
0,2,0,46.1,13.2,211.0,4500.0,0
1,2,0,50.0,16.3,230.0,5700.0,1
2,2,0,48.7,14.1,210.0,4450.0,0
3,2,0,50.0,15.2,218.0,5700.0,1
4,2,0,47.6,14.5,215.0,5400.0,1
5,2,0,46.5,13.5,210.0,4550.0,0
6,2,0,45.4,14.6,211.0,4800.0,0
7,2,0,46.7,15.3,219.0,5200.0,1
8,2,0,43.3,13.4,209.0,4400.0,0
9,2,0,46.8,15.4,215.0,5150.0,1
10,2,0,40.9,13.7,214.0,4650.0,0
11,2,0,49.0,16.1,216.0,5550.0,1
12,2,0,45.5,13.7,214.0,4650.0,0
13,2,0,48.4,14.6,213.0,5850.0,1
14,2,0,45.8,14.6,210.0,4200.0,0
15,2,0,49.3,15.7,217.0,5850.0,1
16,2,0,42.0,13.5,210.0,4150.0,0
17,2,0,49.2,15.2,221.0,6300.0,1
18,2,0,46.2,14.5,209.0,4800.0,0
19,2,0,48.7,15.1,222.0,5350.0,1
20,2,0,50.2,14.3,218.0,5700.0,1
21,2,0,45.1,14.5,215.0,5000.0,0
22,2,0,46.5,14.5,213.0,4400.0,0
23,2,0,46.3,15.8,215.0,5050.0,1
24,2,0,42.9,13.1,215.0,5000.0,0
25,2,0,46.1,15.1,215.0,5100.0,1
26,2,0,47.8,15.0,215.0,5650.0,1
27,2,0,48.2,14.3,210.0,4600.0,0
28,2,0,50.0,15.3,220.0,5550.0,1
29,2,0,47.3,15.3,222.0,5250.0,1
30,2,0,42.8,14.2,209.0,4700.0,0
31,2,0,45.1,14.5,207.0,5050.0,0
32,2,0,59.6,17.0,230.0,6050.0,1
33,2,0,49.1,14.8,220.0,5150.0,0
34,2,0,48.4,16.3,220.0,5400.0,1
35,2,0,42.6,13.7,213.0,4950.0,0
36,2,0,44.4,17.3,219.0,5250.0,1
37,2,0,44.0,13.6,208.0,4350.0,0
38,2,0,48.7,15.7,208.0,5350.0,1
39,2,0,42.7,13.7,208.0,3950.0,0
40,2,0,49.6,16.0,225.0,5700.0,1
41,2,0,45.3,13.7,210.0,4300.0,0
42,2,0,49.6,15.0,216.0,4750.0,1
43,2,0,50.5,15.9,222.0,5550.0,1
44,2,0,43.6,13.9,217.0,4900.0,0
45,2,0,45.5,13.9,210.0,4200.0,0
46,2,0,50.5,15.9,225.0,5400.0,1
47,2,0,44.9,13.3,213.0,5100.0,0
48,2,0,45.2,15.8,215.0,5300.0,1
49,2,0,46.6,14.2,210.0,4850.0,0
50,2,0,48.5,14.1,220.0,5300.0,1
